"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"ENSG00000092850"	-1.03107974098092	1.39066178798275	37.3458312707887	8.34611696880735e-07	0.00123595988122784
"ENSG00000174132"	0.747702327841753	4.10348217753091	36.9431862182145	9.17501468541677e-07	0.00123595988122784
"ENSG00000231889"	-0.580738476161642	4.69199748893307	37.837518252372	7.44057548742488e-07	0.00123595988122784
"ENSG00000105877"	-1.26201521765843	2.56496191774482	43.3146718551823	2.18569141354548e-07	0.00123595988122784
"ENSG00000136933"	0.589341891970428	3.70118054668177	44.2749675856674	1.78024981875518e-07	0.00123595988122784
"ENSG00000166295"	-0.581286670080471	4.82799964599425	36.8972915715228	9.27491624959922e-07	0.00123595988122784
"ENSG00000239306"	-0.884970944982646	6.26544217263902	37.3417003848148	8.35420413774637e-07	0.00123595988122784
"ENSG00000002016"	-0.762622733679771	4.86932319884302	41.1091011156869	3.53841258516412e-07	0.00123595988122784
"ENSG00000170043"	0.577573095674504	4.89072819624364	38.1876363793418	6.85983230129245e-07	0.00123595988122784
"ENSG00000109016"	0.576204829447671	3.43095698957831	41.2034796209882	3.4651479807928e-07	0.00123595988122784
"ENSG00000063322"	0.616702539497016	6.52288824120405	38.0689817903985	7.0510461914468e-07	0.00123595988122784
"ENSG00000100348"	0.394425816957147	5.35324750600125	38.7084883965786	6.08344617040795e-07	0.00123595988122784
"ENSG00000101162"	-1.07517432752448	2.12300388695285	35.7201410044966	1.22766688949104e-06	0.00151012470998855
"ENSG00000100038"	-0.719544082981346	4.32661328113084	35.1518609965644	1.40820252531407e-06	0.00160846904159267
"ENSG00000132768"	0.590205589037827	4.09191161217221	33.7912225499443	1.9656867073098e-06	0.00161924958269245
"ENSG00000147437"	-1.35193990217438	1.54728201200115	33.6211465140356	2.05041524274269e-06	0.00161924958269245
"ENSG00000183943"	-1.03235715914103	4.62044668741339	33.9882968171746	1.87214661993436e-06	0.00161924958269245
"ENSG00000254858"	0.831351613197918	2.87625033878879	33.9169048730371	1.90547289840583e-06	0.00161924958269245
"ENSG00000118162"	-0.746828594014592	3.42667282890494	34.641448469402	1.59454370211816e-06	0.00161924958269245
"ENSG00000125821"	0.732752112082094	4.66973633314149	33.2882475867744	2.22772126941616e-06	0.00161924958269245
"ENSG00000100014"	-0.578326861158693	5.25515657525474	34.1221921550464	1.81130520205354e-06	0.00161924958269245
"ENSG00000100376"	-1.0024133162798	4.28413410932252	33.3383541487248	2.20002205056345e-06	0.00161924958269245
"ENSG00000128271"	-2.00495269235799	0.281220049869769	32.9880671096262	2.40163240905766e-06	0.00166976103709744
"ENSG00000087116"	-1.48501938853946	3.87652969144409	32.1514420400128	2.96715887424259e-06	0.00175107462562581
"ENSG00000168566"	-0.688066236130866	3.69143621844178	32.0226809643687	3.06610527906465e-06	0.00175107462562581
"ENSG00000137133"	0.646110138890818	3.34724154253427	32.6069031218154	2.64356454180716e-06	0.00175107462562581
"ENSG00000213551"	-0.467119228951453	4.20139136827159	32.2463167371605	2.89643058500214e-06	0.00175107462562581
"ENSG00000005339"	-0.478217588682387	8.15469685822135	32.1143655921254	2.99529686411032e-06	0.00175107462562581
"ENSG00000127993"	-0.661405857870597	4.42133641002004	31.8723611770607	3.18608273262465e-06	0.00175684996473796
"ENSG00000114126"	-0.497191665618903	6.07377255729435	31.2602511722298	3.72880956640169e-06	0.00197250727435446
"ENSG00000172500"	0.648387943036344	5.16464106665596	30.9216852496918	4.07058595795742e-06	0.00197250727435446
"ENSG00000129654"	-2.31682658016902	2.72636940356379	30.9806450832471	4.00874716485025e-06	0.00197250727435446
"ENSG00000021488"	-1.38273939832633	0.735895188588288	30.9680493446014	4.02187340251314e-06	0.00197250727435446
"ENSG00000114023"	0.751390701941759	4.37100799798831	30.4645059637247	4.58599732909598e-06	0.00213567778870266
"ENSG00000253540"	1.13088627766103	1.23757492676752	30.3915971552693	4.67442452658328e-06	0.00213567778870266
"ENSG00000181929"	0.520711895733684	4.48098189654944	30.0847065628674	5.06704134449991e-06	0.00225075161499717
"ENSG00000147571"	2.22433260357043	0.435948789690249	29.9572160127149	5.24034043517596e-06	0.00226481848375402
"ENSG00000145882"	0.920879901102819	4.08462233792717	28.8424336433755	7.05419441238838e-06	0.00236701604532942
"ENSG00000112079"	-0.627686132468549	4.61681697902803	28.997260654171	6.76657415477542e-06	0.00236701604532942
"ENSG00000231721"	-0.676999619195368	6.72264046896689	29.0388364307799	6.69148543863945e-06	0.00236701604532942
"ENSG00000173295"	1.21285850324614	1.34525655065522	28.9911617406214	6.77766448383217e-06	0.00236701604532942
"ENSG00000102317"	1.51434293432628	5.48318798710808	29.0822906668238	6.6139518439032e-06	0.00236701604532942
"ENSG00000135414"	-0.85582150094207	5.70735258703874	29.177236421382	6.4478539395886e-06	0.00236701604532942
"ENSG00000075415"	0.576264503429567	6.9534894512439	28.8627952557806	7.01563637506428e-06	0.00236701604532942
"ENSG00000053254"	-0.543825151310178	6.59524619074306	29.0922812765517	6.59626165978514e-06	0.00236701604532942
"ENSG00000138617"	-0.456779698696165	3.02562956625614	28.8157612888739	7.10504472364532e-06	0.00236701604532942
"ENSG00000100983"	0.674004136320385	4.67276843259208	28.9811924624726	6.79583443584664e-06	0.00236701604532942
"ENSG00000100412"	0.480276632010679	7.68703074261886	29.2832132575735	6.2676912059357e-06	0.00236701604532942
"ENSG00000232859"	1.1512439900414	4.50298737094947	28.7255082235319	7.28002649090017e-06	0.00237581435950989
"ENSG00000131475"	0.520514608715987	3.58387130899325	28.6061248044267	7.51857024222245e-06	0.00240458913486758
"ENSG00000132522"	-0.405309343471685	5.0099955499935	28.0322521465125	8.78735171515962e-06	0.0027552655152376
"ENSG00000089169"	1.45950576877165	7.54414060487046	27.950436825841	8.98606212706113e-06	0.00276338691295836
"ENSG00000134575"	0.590151487535389	4.82819170997443	27.815609620278	9.32404346783361e-06	0.002813222247059
"ENSG00000251595"	0.687922956392776	3.31494044685498	27.5790262931293	9.95026651404712e-06	0.00283569242064459
"ENSG00000151465"	0.568893307063421	4.5891942466776	27.6273446090787	9.81882131685553e-06	0.00283569242064459
"ENSG00000111667"	0.679737205432951	7.0993513511395	27.6846641178276	9.66528384148079e-06	0.00283569242064459
"ENSG00000141646"	-0.500588182208097	6.4593769301934	27.5219917974052	1.01078399084949e-05	0.00283569242064459
"ENSG00000184677"	-0.470540489665286	6.1714786778547	27.2984571171364	1.07515214861137e-05	0.00286545966807406
"ENSG00000144214"	-1.09046446707364	1.4276369106059	27.3211659132373	1.06841802932685e-05	0.00286545966807406
"ENSG00000174171"	-0.915093604628023	1.66521101391431	27.3066087485237	1.07272965680123e-05	0.00286545966807406
"ENSG00000091483"	0.719762461287116	4.98451374116128	26.9733134874383	1.17669268702e-05	0.00305480110985181
"ENSG00000167986"	0.550374250298056	7.78127100891174	26.8383060095407	1.22181430888608e-05	0.00305480110985181
"ENSG00000245532"	-1.30240969867544	10.9931830599477	26.8723327049324	1.21027094754693e-05	0.00305480110985181
"ENSG00000020577"	-0.763843859460753	7.10088827915453	26.8359785492978	1.22260816103131e-05	0.00305480110985181
